"id", "title", "price", "meters", "rooms", "address", "area", "link"
"91599463", "Schöne vier Zimmer Wohnung in Stuttgart Bergheim", "380000", "96", "4", "Am Bergheimerhof 47, Bergheim, Stuttgart", "Bergheim", "http://www.immobilienscout24.de/expose/91599463"
"91591677", "2 Zimmer Wohnung in bevorzugter Wohnlage", "150000", "46", "2", "Allgäustraße 32, Plieningen, Stuttgart", "Plieningen", "http://www.immobilienscout24.de/expose/91591677"
"91591501", "Großzügige 4-Zimmer Jugendstil-Wohnung in Guter-Ruhiger Lage in Stuttgart-Canstatt-Sofort Frei", "385000", "116", "4", "Freiligrathstr 30, Bad Cannstatt, Stuttgart", "Bad Cannstatt", "http://www.immobilienscout24.de/expose/91591501"
"91591347", "Große 4-Zimmer Jugendstil-Wohnung in Guter-Ruhiger Lage in Stuttgart-Cannstatt", "395000", "117", "4", "Freiligrathstr 30, Bad Cannstatt, Stuttgart", "Bad Cannstatt", "http://www.immobilienscout24.de/expose/91591347"
"91591195", "Wunderschöne komplett renovierte 3-Zi.-Whg in begehrter HHL von S-Ost", "459000", "103", "3", "Neue Straße 137, Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/91591195"
"91588483", "Sonninge 2 Zimmer Wohnung mit Wintergarten und Garten", "175000", "59", "2", "Untertürkheim, Stuttgart", "Untertürkheim", "http://www.immobilienscout24.de/expose/91588483"
"91585975", "Attraktive 3-Zi.-Wohnung in gepflegtem Altbau", "230000", "84", "3", "Untertürkheim, Stuttgart", "Untertürkheim", "http://www.immobilienscout24.de/expose/91585975"
"91581773", "LETZTE CHANCE! Jetzt die super Rendite oder das Eigenheim sichern", "269000", "107", "3", "Zuffenhausen, Stuttgart", "Zuffenhausen", "http://www.immobilienscout24.de/expose/91581773"
"91571861", "Zwangsversteigerung Eigentumswohnung in 70597 Stuttgart Hofgärten", "170000", "56", "2", "Hoffeld, Stuttgart", "Hoffeld", "http://www.immobilienscout24.de/expose/91571861"
"91566077", "Stadtwohnung beim "Gerber" um die Ecke", "108000", "27", "2", "Gerberstr. 12 B, Mitte, Stuttgart", "Mitte", "http://www.immobilienscout24.de/expose/91566077"
"91556163", "Helle 3 Zi - Wohnung mit Balkon und Garage", "249000", "78", "3", "Freiberg, Stuttgart", "Freiberg", "http://www.immobilienscout24.de/expose/91556163"
"91541861", "KERNSANIERTE 3-4 Zimmer Wohnung", "324000", "100", "3", "Untertürkheim, Stuttgart", "Untertürkheim", "http://www.immobilienscout24.de/expose/91541861"
"91522981", "3-Zimmer-Wohnung und 1-Zimmer-Appartement zusammenlegbar nebeneinander", "245000", "87", "4", "Münster, Stuttgart", "Münster", "http://www.immobilienscout24.de/expose/91522981"
"91510389", "Mitten im Leben - 3- Zimmer-Altbauwohnung mit Balkon im beliebten Stuttgarter Westen", "395000", "85", "3", "Hasenbergstraße 82, West, Stuttgart", "West", "http://www.immobilienscout24.de/expose/91510389"
"91510203", "Dachgeschoss zum Ausbau mit Baugenehmigung", "212500", "85", "3", "Buchfinkenweg 8, Vaihingen, Stuttgart", "Vaihingen", "http://www.immobilienscout24.de/expose/91510203"
"91506333", "3-Zimmer-Wohnung in Stuttgart-Fasanenhof", "270000", "70", "3", "Fasanenhof, Stuttgart", "Fasanenhof", "http://www.immobilienscout24.de/expose/91506333"
"91504553", "Attraktive und sonnige DG-Maisonette-Wohnung in ruhiger Wohnlage in Stuttgart-Kaltental!", "405000", "84", "3", "Kaltental, Stuttgart", "Kaltental", "http://www.immobilienscout24.de/expose/91504553"
"91503513", "**Sofort beziehbar**Top Ausstattung**Lichtdurchflutet**", "639000", "130", "4", "Libanonstraße 76, Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/91503513"
"91502481", "2 Zimmerwg. mit Balkon und 2 Garagen -ruhige Lage!", "229000", "60", "2", "Fohrenbühlstr. 39, Kaltental, Stuttgart", "Kaltental", "http://www.immobilienscout24.de/expose/91502481"
"91599463", "Schöne vier Zimmer Wohnung in Stuttgart Bergheim", "380000", "96", "4", "Am Bergheimerhof 47, Bergheim, Stuttgart", "Bergheim", "http://www.immobilienscout24.de/expose/91599463"
"91591677", "2 Zimmer Wohnung in bevorzugter Wohnlage", "150000", "46", "2", "Allgäustraße 32, Plieningen, Stuttgart", "Plieningen", "http://www.immobilienscout24.de/expose/91591677"
"91591501", "Großzügige 4-Zimmer Jugendstil-Wohnung in Guter-Ruhiger Lage in Stuttgart-Canstatt-Sofort Frei", "385000", "116", "4", "Freiligrathstr 30, Bad Cannstatt, Stuttgart", "Bad Cannstatt", "http://www.immobilienscout24.de/expose/91591501"
"91591347", "Große 4-Zimmer Jugendstil-Wohnung in Guter-Ruhiger Lage in Stuttgart-Cannstatt", "395000", "117", "4", "Freiligrathstr 30, Bad Cannstatt, Stuttgart", "Bad Cannstatt", "http://www.immobilienscout24.de/expose/91591347"
"91591195", "Wunderschöne komplett renovierte 3-Zi.-Whg in begehrter HHL von S-Ost", "459000", "103", "3", "Neue Straße 137, Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/91591195"
"91588483", "Sonninge 2 Zimmer Wohnung mit Wintergarten und Garten", "175000", "59", "2", "Untertürkheim, Stuttgart", "Untertürkheim", "http://www.immobilienscout24.de/expose/91588483"
"91585975", "Attraktive 3-Zi.-Wohnung in gepflegtem Altbau", "230000", "84", "3", "Untertürkheim, Stuttgart", "Untertürkheim", "http://www.immobilienscout24.de/expose/91585975"
"91581773", "LETZTE CHANCE! Jetzt die super Rendite oder das Eigenheim sichern", "269000", "107", "3", "Zuffenhausen, Stuttgart", "Zuffenhausen", "http://www.immobilienscout24.de/expose/91581773"
"91571861", "Zwangsversteigerung Eigentumswohnung in 70597 Stuttgart Hofgärten", "170000", "56", "2", "Hoffeld, Stuttgart", "Hoffeld", "http://www.immobilienscout24.de/expose/91571861"
"91566077", "Stadtwohnung beim "Gerber" um die Ecke", "108000", "27", "2", "Gerberstr. 12 B, Mitte, Stuttgart", "Mitte", "http://www.immobilienscout24.de/expose/91566077"
"91556163", "Helle 3 Zi - Wohnung mit Balkon und Garage", "249000", "78", "3", "Freiberg, Stuttgart", "Freiberg", "http://www.immobilienscout24.de/expose/91556163"
"91541861", "KERNSANIERTE 3-4 Zimmer Wohnung", "324000", "100", "3", "Untertürkheim, Stuttgart", "Untertürkheim", "http://www.immobilienscout24.de/expose/91541861"
"91522981", "3-Zimmer-Wohnung und 1-Zimmer-Appartement zusammenlegbar nebeneinander", "245000", "87", "4", "Münster, Stuttgart", "Münster", "http://www.immobilienscout24.de/expose/91522981"
"91510389", "Mitten im Leben - 3- Zimmer-Altbauwohnung mit Balkon im beliebten Stuttgarter Westen", "395000", "85", "3", "Hasenbergstraße 82, West, Stuttgart", "West", "http://www.immobilienscout24.de/expose/91510389"
"91510203", "Dachgeschoss zum Ausbau mit Baugenehmigung", "212500", "85", "3", "Buchfinkenweg 8, Vaihingen, Stuttgart", "Vaihingen", "http://www.immobilienscout24.de/expose/91510203"
"91506333", "3-Zimmer-Wohnung in Stuttgart-Fasanenhof", "270000", "70", "3", "Fasanenhof, Stuttgart", "Fasanenhof", "http://www.immobilienscout24.de/expose/91506333"
"91504553", "Attraktive und sonnige DG-Maisonette-Wohnung in ruhiger Wohnlage in Stuttgart-Kaltental!", "405000", "84", "3", "Kaltental, Stuttgart", "Kaltental", "http://www.immobilienscout24.de/expose/91504553"
"91503513", "**Sofort beziehbar**Top Ausstattung**Lichtdurchflutet**", "639000", "130", "4", "Libanonstraße 76, Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/91503513"
"91502481", "2 Zimmerwg. mit Balkon und 2 Garagen -ruhige Lage!", "229000", "60", "2", "Fohrenbühlstr. 39, Kaltental, Stuttgart", "Kaltental", "http://www.immobilienscout24.de/expose/91502481"
"91502401", "Natur- und dennoch zentrumsnah! 1 Zimmer Wohnung mit unverbaubarer Aussicht in Stuttgart-Botnang!", "129900", "32", "1", "Botnang, Stuttgart", "Botnang", "http://www.immobilienscout24.de/expose/91502401"
"91501667", "Renovierte 2-Zimmer-Wohnung im Stuttgarter Westen", "134000", "0", "2", "Schwabstraße 4, West, Stuttgart", "West", "http://www.immobilienscout24.de/expose/91501667"
"91495953", "Nur für Sie - ein Stück Natur mitten in der City", "569000", "97", "3", "Haußmannstraße 6, Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/91495953"
"91493793", "Sehr gute und ruhige Wohnlage direkt am Wald", "210000", "62", "2", "Botnang, Stuttgart", "Botnang", "http://www.immobilienscout24.de/expose/91493793"
"91487495", "Top gepflegte 3-Zimmer-Wohnung (1.OG) in Stuttgart-Süd (Heslach)", "399000", "83", "3", "Süd, Stuttgart", "Süd", "http://www.immobilienscout24.de/expose/91487495"
"91484737", "* Absolutes Liebhaberobjekt in perfekter Lage *", "489000", "88", "4", "Mitte, Stuttgart", "Mitte", "http://www.immobilienscout24.de/expose/91484737"
"91484715", "* Haus im Haus - Familien aufgepasst! *", "325000", "88", "4", "Bad Cannstatt, Stuttgart", "Bad Cannstatt", "http://www.immobilienscout24.de/expose/91484715"
