"id","title","price","meters","rooms","address","area","link"
"95357473","Zentral Wohnen und Natur genießen!","177000","59","3","na","na","http://www.immobilienscout24.de/expose/95357473"
"95356357","Über den Dächern von Stuttgart - beste Lage - schönste Aussicht!","478000","107","3","na","na","http://www.immobilienscout24.de/expose/95356357"
"95353834","Am Killesberg: Moderne und zentrumsnahe 3-Zimmer-Wohnung mit zwei Terrassen und Garten","625000","91","3","na","na","http://www.immobilienscout24.de/expose/95353834"
"95325639","* 4 - Zimmer Kapitalanlage mit Balkon und riesigem Garten *","240000","86","4","na","na","http://www.immobilienscout24.de/expose/95325639"
"95325412","* Schicke 25 - Zimmer - Wohnung mit Einbauküche *","180000","51","2","na","na","http://www.immobilienscout24.de/expose/95325412"
"95325150","* Freiwerdendes 1 - Zi - Apartment mit eigenem Garten ! *","139000","45","1","na","na","http://www.immobilienscout24.de/expose/95325150"
"95325085","* TOP zentral * Apartment mit Balkon * Aufzug * TG * Gemeinschaftsgarten *","115000","30","1","na","na","http://www.immobilienscout24.de/expose/95325085"
"95324737","***WOHNIDYLLE MIT BLICK AUF DEN PROBSTSEE***","269000","79","3","na","na","http://www.immobilienscout24.de/expose/95324737"
"95324119","schöner Altbau - großzügige freundliche 3-Zi.-ETW in S-Ost","260000","83","3","na","na","http://www.immobilienscout24.de/expose/95324119"
"95322464","1 Zimmer-Appartment in Stuttgart-Hedelfingen","129000","30","1","na","na","http://www.immobilienscout24.de/expose/95322464"
"95320015","gepflegt & sonnig. Großzügige 1 Zi.-OG-Wohnung mit großer Terrasse und Doppelparker","119000","43","1","na","na","http://www.immobilienscout24.de/expose/95320015"
"95319226","helle 3 Zi. Wohnung mit Balkon im Stuttgarter Süden","239000","60","3","na","na","http://www.immobilienscout24.de/expose/95319226"
"95318120","*frisch modernisierte* 3- ZW in Stuttgart Süd am Waldrand","225000","52","3","na","na","http://www.immobilienscout24.de/expose/95318120"
"95316252","Gepflegte 15-Zimmer-Erdgeschoßwohnung in Stuttgart-Botnang","195000","55","1","na","na","http://www.immobilienscout24.de/expose/95316252"
"95313987","Attraktive 45-Zimmer-Wohnung mit Stellplatz in ruhiger Citylage","457000","98","4","na","na","http://www.immobilienscout24.de/expose/95313987"
"95313292","Dinner for two...und schnell in der Stuttgarter City - WOW","290000","65","2","na","na","http://www.immobilienscout24.de/expose/95313292"
"95311166","Eigennutz / Kapitalanlage: ruhige Lage in Bad Cannstatt","215000","57","3","na","na","http://www.immobilienscout24.de/expose/95311166"
"95303904","KAPITALANLAGE IN STUTTGART-FREIBERG","260000","86","4","na","na","http://www.immobilienscout24.de/expose/95303904"
"95302383","Über den Dächern von Feuerbach!","300000","98","4","na","na","http://www.immobilienscout24.de/expose/95302383"
"95297166","WOHNUNG MIT 82.4 m² WOHNFLÄCHE","150000","82","3","na","na","http://www.immobilienscout24.de/expose/95297166"
"95357473","Zentral Wohnen und Natur genießen!","177000","59","3","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/95357473"
"95356357","Über den Dächern von Stuttgart - beste Lage - schönste Aussicht!","478000","107","3","Bad Cannstatt, Stuttgart","48.8084576 9.2250355","http://www.immobilienscout24.de/expose/95356357"
"95353834","Am Killesberg: Moderne und zentrumsnahe 3-Zimmer-Wohnung mit zwei Terrassen und Garten","625000","91","3","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/95353834"
"95325639","* 4 - Zimmer Kapitalanlage mit Balkon und riesigem Garten *","240000","86","4","Freiberg, Stuttgart","48.8390097 9.2076863","http://www.immobilienscout24.de/expose/95325639"
"95325412","* Schicke 25 - Zimmer - Wohnung mit Einbauküche *","180000","51","2","Bad Cannstatt, Stuttgart","48.8084576 9.2250355","http://www.immobilienscout24.de/expose/95325412"
"95325150","* Freiwerdendes 1 - Zi - Apartment mit eigenem Garten ! *","139000","45","1","Untertürkheim, Stuttgart","48.7856737 9.2561587","http://www.immobilienscout24.de/expose/95325150"
"95325085","* TOP zentral * Apartment mit Balkon * Aufzug * TG * Gemeinschaftsgarten *","115000","30","1","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/95325085"
"95324737","***WOHNIDYLLE MIT BLICK AUF DEN PROBSTSEE***","269000","79","3","Möhringen, Stuttgart","48.7236185 9.1459902","http://www.immobilienscout24.de/expose/95324737"
"95324119","schöner Altbau - großzügige freundliche 3-Zi.-ETW in S-Ost","260000","83","3","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/95324119"
"95322464","1 Zimmer-Appartment in Stuttgart-Hedelfingen","129000","30","1","Hedelfingen, Stuttgart","48.7587812 9.2441075","http://www.immobilienscout24.de/expose/95322464"
"95320015","gepflegt & sonnig. Großzügige 1 Zi.-OG-Wohnung mit großer Terrasse und Doppelparker","119000","43","1","Turnierstraße x, Plieningen, Stuttgart","48.7012028 9.2136381","http://www.immobilienscout24.de/expose/95320015"
"95319226","helle 3 Zi. Wohnung mit Balkon im Stuttgarter Süden","239000","60","3","Böblingerstr.229 -, Süd, Stuttgart","48.7562543 9.1432203","http://www.immobilienscout24.de/expose/95319226"
"95318120","*frisch modernisierte* 3- ZW in Stuttgart Süd am Waldrand","225000","52","3","Süd, Stuttgart","48.7608788 9.1548908","http://www.immobilienscout24.de/expose/95318120"
"95316252","Gepflegte 15-Zimmer-Erdgeschoßwohnung in Stuttgart-Botnang","195000","55","1","Botnang, Stuttgart","48.7781852 9.1284269","http://www.immobilienscout24.de/expose/95316252"
"95313987","Attraktive 45-Zimmer-Wohnung mit Stellplatz in ruhiger Citylage","457000","98","4","Süd, Stuttgart","48.7608788 9.1548908","http://www.immobilienscout24.de/expose/95313987"
"95313292","Dinner for two...und schnell in der Stuttgarter City - WOW","290000","65","2","Heumaden, Stuttgart","48.7444841 9.2329917","http://www.immobilienscout24.de/expose/95313292"
"95311166","Eigennutz / Kapitalanlage: ruhige Lage in Bad Cannstatt","215000","57","3","Bad Cannstatt, Stuttgart","48.8084576 9.2250355","http://www.immobilienscout24.de/expose/95311166"
