"id", "title", "price", "meters", "rooms", "address", "area", "link"
"94512728", "Schöne drei Zimmer Wohnung in Stuttgart Riedenberg", "267000", "75", "3", "Brunnenwiesenstraße 25, Riedenberg, Stuttgart", "Riedenberg", "http://www.immobilienscout24.de/expose/94512728"
"94507762", "Neuwertig Lichtdurchflutet! Wohnen auf 2 Ebenen in bester Lage von Stuttgart-Riedenberg!", "550000", "119", "4", "Riedenberg, Stuttgart", "Riedenberg", "http://www.immobilienscout24.de/expose/94507762"
"94506977", "Traumwohnung am Probstsee (Seepark Suiten). 35 Zi-EG-Whg. (ca. 113 qm) mit Terrasse!", "565000", "113", "3", "Möhringen, Stuttgart", "Möhringen", "http://www.immobilienscout24.de/expose/94506977"
"94503522", "TRAUMLOFT IM WESTEN - NAHE BOSCH AREAL", "595000", "160", "4", "West, Stuttgart", "West", "http://www.immobilienscout24.de/expose/94503522"
"94499724", "Verkaufe 1 ZW Stuttgart -Mitte -Ost  an Kapitalanleger nur € 125.000", "125000", "29", "1", "Mitte, Stuttgart", "Mitte", "http://www.immobilienscout24.de/expose/94499724"
"94493906", "Super 3 Zimmer-Wohnung mitten in Stuttgart WG-tauglich", "329000", "71", "3", "Mitte, Stuttgart", "Mitte", "http://www.immobilienscout24.de/expose/94493906"
"94493387", "* Frühlingsstart auf der XXL - Terrasse *", "349000", "88", "3", "Nord, Stuttgart", "Nord", "http://www.immobilienscout24.de/expose/94493387"
"94492651", "S-Gänsheide: Schöne 3-Zimmer-Wohnung mit großem Sonnenbalkon", "349000", "94", "3", "Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/94492651"
"94490010", "Beste Lage UND Beste Aussicht - Penthouse am Killesberg", "1189000", "134", "4", "Nord, Stuttgart", "Nord", "http://www.immobilienscout24.de/expose/94490010"
"94488059", "*Die Gedanken sind frei* Helle 1-Zimmer-Wohnung *flexibel nutzbar*", "119999", "28", "1", "Ost, Stuttgart", "Ost", "http://www.immobilienscout24.de/expose/94488059"
"94487011", "1 Zi.-Whg. mit ca. 33 qm und Balkon in Stuttgart-Botnang", "79000", "34", "1", "Leharstr. 4, Botnang, Stuttgart", "Botnang", "http://www.immobilienscout24.de/expose/94487011"
