"id","title","price","meters","rooms","address","area","link"
"94523909","Wohnen mitten im Stuttgarter Westen","320000","80","3","Ludwig-Pfau-Strasse 0, West, Stuttgart","48.7812488 9.1599121","http://www.immobilienscout24.de/expose/94523909"
"94522851","3-Zimmer-Wohnung in Stuttgart-Weilimdorf an Kapitalanleger zu verkaufen.","355000","82","3","Wolfbusch, Stuttgart","48.80285 9.11095","http://www.immobilienscout24.de/expose/94522851"
"94521206","Wunderschöne 4-Zimmer-Altbauwohnung mit 2 Balkonen und Ausblick","425000","106","4","Rosenbergstraße 101, West, Stuttgart","48.77717 9.15302","http://www.immobilienscout24.de/expose/94521206"
"94512728","Schöne drei Zimmer Wohnung in Stuttgart Riedenberg","217000","75","3","Brunnenwiesenstraße 25, Riedenberg, Stuttgart","Riedenberg","http://www.immobilienscout24.de/expose/94512728"
"94507762","Neuwertig Lichtdurchflutet! Wohnen auf 2 Ebenen in bester Lage von Stuttgart-Riedenberg!","550000","119","4","Riedenberg, Stuttgart","48.7361281 9.2109935","http://www.immobilienscout24.de/expose/94507762"
"94506977","Traumwohnung am Probstsee (Seepark Suiten). 35 Zi-EG-Whg. (ca. 113 qm) mit Terrasse!","565000","113","3","Möhringen, Stuttgart","48.7236185 9.1459902","http://www.immobilienscout24.de/expose/94506977"
"94503522","TRAUMLOFT IM WESTEN - NAHE BOSCH AREAL","595000","160","4","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94503522"
"94499724","Verkaufe 1 ZW Stuttgart -Mitte -Ost  an Kapitalanleger nur € 125.000","125000","29","1","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94499724"
"94493906","Super 3 Zimmer-Wohnung mitten in Stuttgart WG-tauglich","329000","71","3","Mitte, Stuttgart","48.7791249 9.1800904","http://www.immobilienscout24.de/expose/94493906"
"94493387","* Frühlingsstart auf der XXL - Terrasse *","349000","88","3","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94493387"
"94490010","Beste Lage UND Beste Aussicht - Penthouse am Killesberg","1189000","134","4","Nord, Stuttgart","48.7927231 9.1684625","http://www.immobilienscout24.de/expose/94490010"
"94488059","*Die Gedanken sind frei* Helle 1-Zimmer-Wohnung *flexibel nutzbar*","119999","28","1","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94488059"
"94487011","1 Zi.-Whg. mit ca. 33 qm und Balkon in Stuttgart-Botnang","79000","34","1","Leharstr. 4, Botnang, Stuttgart","48.7815276 9.1309804","http://www.immobilienscout24.de/expose/94487011"
"94485166","''Im Stadtkern! - 3-Zi.-OG-ETW mit optimaler Raumaufteilung in S-Feuerbach!","220000","72","3","Feuerbach, Stuttgart","48.8116009 9.1589461","http://www.immobilienscout24.de/expose/94485166"
