"id", "title", "price", "meters", "rooms", "address", "area", "link"
"91773910", "schöne 3-Zimmer-Wohnung in ruhiger Lage", "240000", "75", "3", "Hofen, Stuttgart", "Hofen", "http://www.immobilienscout24.de/expose/91773910"
"91773906", "Wohnen im Stuttgarter Westen", "189000", "58", "2", "West, Stuttgart", "West", "http://www.immobilienscout24.de/expose/91773906"
"91772914", "Stadtpalais 107", "590000", "110", "4", "Reinsburg Straße 107, West, Stuttgart", "West", "http://www.immobilienscout24.de/expose/91772914"
"91753812", "Helle 3-Zimmer-Wohnung in Stuttgart-Fasanenhof als Kapitalanlage", "269000", "75", "3", "Holteiweg 20B, Fasanenhof, Stuttgart", "Fasanenhof", "http://www.immobilienscout24.de/expose/91753812"
"91750700", "SCHÖNE 1-Zimmer SOUTERRAIN-WOHNUNG * TOLLE KAPITALANLAGE", "240000", "42", "1", "Botnang, Stuttgart", "Botnang", "http://www.immobilienscout24.de/expose/91750700"
"91750526", "HOCHWERTIGE 3 ZI.- DG-WOHNUNG MIT TOLLER AUSSICHT ! SOFORT BEZIEHBAR !", "485000", "84", "3", "Botnang, Stuttgart", "Botnang", "http://www.immobilienscout24.de/expose/91750526"
"91750466", "SCHÖN UND HELL - TOP SANIERTE 3 ZI. WOHNUNG MIT GROSSEM BALKON ! SOFORT BEZIEHBAR", "590000", "104", "3", "Botnang, Stuttgart", "Botnang", "http://www.immobilienscout24.de/expose/91750466"
"91730602", "Lichtdurchflutete 2 ZW im Stuttgarter Süden", "164358", "41", "2", "Tulpenstraße 58, Süd, Stuttgart", "Süd", "http://www.immobilienscout24.de/expose/91730602"
"91724845", "Wohngenuss in Riedenberg!", "199000", "53", "2", "Riedenberg, Stuttgart", "Riedenberg", "http://www.immobilienscout24.de/expose/91724845"
"91721245", "Vermietete 2-Zi. Stadtwohnung nähe Marienhospital!", "135000", "47", "2", "Süd, Stuttgart", "Süd", "http://www.immobilienscout24.de/expose/91721245"
