"id","title","price","meters","rooms","address","area","link"
"94997024","Familien aufgepasst! Großzügige Wohnung mit Garten zentrumsnah in S-Zuffenhausen.","275000","90","4","Zuffenhausen, Stuttgart","48.8332507 9.1688055","http://www.immobilienscout24.de/expose/94997024"
"94995867","LICHT ~ LAGE ~ LEBENSART ~ LOFT - artige 146 m² Wohnung nahe Heusteigviertel","759000","146","4","Neue Weinsteige 30, Süd, Stuttgart","48.76344 9.17869","http://www.immobilienscout24.de/expose/94995867"
"94987054","**Ideale und SOFORT bezugsfreie Wohnung mit 2 Zimmer und ca 45 m² Wfl.** in Stuttgart-OST","130000","45","2","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94987054"
"94985034","Stuttgart - Rohracker 3- Familienhaus in Planung !","598000","132","5","Sillenbucher Str. 5/1, Rohracker, Stuttgart","48.75667 9.2317311","http://www.immobilienscout24.de/expose/94985034"
"94980966","TOP GELEGENHEIT: Sehr schöne helle 3-Zi.-Wohnung * Terrasse * Keller * gute Lage in S-Uhlbach *","269000","71","3","Uhlbach, Stuttgart","48.7754807 9.2881902","http://www.immobilienscout24.de/expose/94980966"
"94979879","**Schöne 3-Zimmer-Wohnung in zentraler Lage**","305000","81","3","Vaihingen, Stuttgart","48.7303646 9.1079418","http://www.immobilienscout24.de/expose/94979879"
"94979726","Großzügige 2-Zimmer-Wohnung nahe dem SI-Centrum","218000","68","2","Möhringen, Stuttgart","48.7236185 9.1459902","http://www.immobilienscout24.de/expose/94979726"
"94979697","NUR NOCH EINE : 3 Zimmer - Wohnung mit Dachterrasse für Freude am Wohnen in S- Möhringen","458200","88","3","Möhringen, Stuttgart","48.7236185 9.1459902","http://www.immobilienscout24.de/expose/94979697"
"94978381","familienfreundliche 45 Zimmer-Neubauwohnung mit Balkon und Aufzug in Stuttgart-Botnang!","699900","123","4","Himmerreichstr. 37, Botnang, Stuttgart","48.7770226 9.1233739","http://www.immobilienscout24.de/expose/94978381"
"94977941","* Apartment mit Balkon * Aufzug * TG * Gemeinschaftsgarten * TOP Zentral *","115000","30","1","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94977941"
"94967077","WOHNUNG MIT 39 m² WOHNFLÄCHE","70000","39","2","Fellnerstraße XXX, Wangen, Stuttgart","Wangen","http://www.immobilienscout24.de/expose/94967077"
"94963105","3 Zimmer Eigentumswohnung Stuttgart-Ost ! provisionsfrei !","295000","88","3","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94963105"
"94953169","Schöne geräumige ein Zimmer Wohnung in Stuttgart Süd","199000","38","1","Süd, Stuttgart","48.7608788 9.1548908","http://www.immobilienscout24.de/expose/94953169"
"94952231","Schöne drei Zimmer Wohnung in Stuttgart Lederberg","295000","70","3","Lederberg, Stuttgart","48.7530408 9.2446326","http://www.immobilienscout24.de/expose/94952231"
"94950673","Gemütliche 2-Zimmer-Wohnung mit Garten in bester Lage von Stammheim","187000","53","2","Stammheim, Stuttgart","48.847362 9.1508844","http://www.immobilienscout24.de/expose/94950673"
"94950579","Sonnige Gartenwohnung mit riesigem Garten in ruhiger und grüner Lage von Stuttgart-Zuffenhausen.","339000","159","4","Zuffenhausen, Stuttgart","48.8332507 9.1688055","http://www.immobilienscout24.de/expose/94950579"
"94948821","Top Lage! 2-Zimmer-Wohnung mit Balkon in begehrter Lage des Stuttgarter Westen!","219000","58","2","West, Stuttgart","48.7670839 9.1087963","http://www.immobilienscout24.de/expose/94948821"
"94943638","Sonnige 35-Zimmerwohnung mit kleinem Garten und großem Bad","796000","109","3","Sillenbuch, Stuttgart","48.7454918 9.2204779","http://www.immobilienscout24.de/expose/94943638"
"94930388","TRAUMAUSSICHT FÜR ALLE DIE HOCH HINAUS WOLLEN: 2-Zi.-Whg. inkl Balkon u. Stellplatz in S-Mühlhausen.","155000","55","2","Mönchfeld, Stuttgart","48.8431956 9.2187149","http://www.immobilienscout24.de/expose/94930388"
"94928255","Sie haben die Wahl !","332000","82","3","Weilimdorf, Stuttgart","48.81418 9.1121079","http://www.immobilienscout24.de/expose/94928255"
"94997024","Familien aufgepasst! Großzügige Wohnung mit Garten zentrumsnah in S-Zuffenhausen.","275000","90","4","Zuffenhausen, Stuttgart","48.8332507 9.1688055","http://www.immobilienscout24.de/expose/94997024"
"94995867","LICHT ~ LAGE ~ LEBENSART ~ LOFT - artige 146 m² Wohnung nahe Heusteigviertel","759000","146","4","Neue Weinsteige 30, Süd, Stuttgart","48.76344 9.17869","http://www.immobilienscout24.de/expose/94995867"
"94987054","**Ideale und SOFORT bezugsfreie Wohnung mit 2 Zimmer und ca 45 m² Wfl.** in Stuttgart-OST","130000","45","2","Ost, Stuttgart","48.7820069 9.2086769","http://www.immobilienscout24.de/expose/94987054"
