"","location","avgPrice"
"1","Asemwald,Stuttgart",3577.73023023023
"2","Bad Cannstatt,Stuttgart",3314.48702911333
"3","Besigheim,Ludwigsburg (Kreis)",1984.61538461538
"4","Bietigheim-Bissingen,Ludwigsburg (Kreis)",3865.9793814433
"5","Birkach,Stuttgart",3083.58636116214
"6","Böblingen,Böblingen (Kreis)",2911.94503171247
"7","Botnang,Stuttgart",4890.08611352752
"8","Degerloch,Stuttgart",5071.7955995964
"9","Fasanenhof,Stuttgart",2963.57947929709
"10","Feuerbach,Stuttgart",3666.241800038
"11","Frauenkopf,Stuttgart",6463.57764108836
"12","Freiberg,Stuttgart",3071.45075531703
"13","Giebel,Stuttgart",2819.11057692308
"14","Hausen,Stuttgart",4313.72549019608
"15","Hedelfingen,Stuttgart",3554.15856073751
"16","Heumaden,Stuttgart",4734.81732155761
"17","Hofen,Stuttgart",3696.55677655678
"18","Hoffeld,Stuttgart",4295.23544679273
"19","Kaltental,Stuttgart",3528.6676507572
"20","Kirchheim unter Teck,Esslingen (Kreis)",3376.79955703211
"21","Korntal-Münchingen,Ludwigsburg (Kreis)",2929.29292929293
"22","Leonberg,Böblingen (Kreis)",2114.28571428571
"23","Luginsland,Stuttgart",3211.11111111111
"24","Mitte,Stuttgart",4876.31280843179
"25","Möhringen,Stuttgart",4769.18853794202
"26","Mönchfeld,Stuttgart",3140.94207679113
"27","Münster,Stuttgart",3556.722898047
"28","Murr,Ludwigsburg (Kreis)",2567.01030927835
"29","Neugereut,Stuttgart",2688.17204301075
"30","Nord,Stuttgart",6440.14839626572
"31","Oberboihingen,Esslingen (Kreis)",2187.5
"32","Oberriexingen,Ludwigsburg (Kreis)",1860.46511627907
"33","Obertürkheim,Stuttgart",2507.63888888889
"34","Ostfildern,Esslingen (Kreis)",2966.66666666667
"36","Plieningen,Stuttgart",2865.46782205636
"37","Plochingen,Esslingen (Kreis)",2207.79220779221
"38","Riedenberg,Stuttgart",3675.96515410127
"39","Rohracker,Stuttgart",3223.03970162438
"40","Rohr,Stuttgart",3565.48072389657
"41","Rot,Stuttgart",2851.72735760971
"42","Schönberg,Stuttgart",4478.71572871573
"43","Sillenbuch,Stuttgart",5296.42469918928
"44","Sindelfingen,Böblingen (Kreis)",2529.85074626866
"45","Sommerrain,Stuttgart",3500
"46","Sonnenberg,Stuttgart",5278.0021747643
"47","Stammheim,Stuttgart",3791.91085050179
"48","Steckfeld,Stuttgart",3571.42857142857
"49","Süd,Stuttgart",4250.9185791912
"50","Uhlbach,Stuttgart",3850.73328926712
"51","Untertürkheim,Stuttgart",3335.42525243432
"52","Vaihingen,Stuttgart",4824.54250927482
"53","Waiblingen,Rems-Murr-Kreis",2777.77777777778
"54","Wangen,Stuttgart",3051.92115959813
"55","Weinstadt,Rems-Murr-Kreis",3089.88764044944
"56","Weissach im Tal,Rems-Murr-Kreis",2142.85714285714
"57","West,Stuttgart",5636.25875480344
"58","Zuffenhausen,Stuttgart",7261.39048257284
